Nation,Gold,Silver,Bronze,Total
United States,1.8030927267751764,1.7521123346183134,1.3300421111801009,4.885247172573591
Great Britain,1.6737881924614506,1.3169254473634115,0.7484347952886279,3.73914843511349
Germany,3.426453633637921,1.6421399081477253,1.624948845676225,6.693542387461871
Romania,1.0229609865790976,0.5641374571673329,0.5078219076917287,2.094920351438159
Australia,0.6177220159908624,0.8216435846183133,0.7623640588545195,2.2017296594636955
New Zealand,0.596888682657529,0.18904554540262708,0.5399803379242869,1.325914565984443
Italy,0.5641374571673329,0.7680590257947839,0.7597598921878528,2.0919563751499695
Canada,0.5170633150104702,0.9249064522653722,0.8140537390870776,2.25602350636292
France,0.4608745895202741,0.8177373346183133,0.7584578088545195,2.037069732993107
Netherlands,0.40208169736341137,0.6569836581477252,0.6498701150560698,1.7089354705672064
Switzerland,0.39296711403007806,0.4439475061869408,0.48959274102506206,1.3265073612420808
Denmark,0.39296711403007806,0.29100632971635254,0.6407555317227365,1.3247289754691671
Poland,0.2322134375594898,0.18123304540262708,0.5825554348235117,0.9960019177856285
Norway,0.17993096206929374,0.332872138539882,0.43009056079250396,0.9428936614016797
Bulgaria,0.17602471206929374,0.22700510422615647,0.3757967138932792,0.7788265301887294
Finland,0.16691012873596042,0.06494934442223492,0.16513174296304658,0.3969912161212419
Belarus,0.11592973657909765,0.06494934442223492,0.2155193398622714,0.396398420863604
China,0.06755351108890158,0.2204946875594898,0.21812350652893805,0.5061717051773295
Croatia,0.06234517775556824,0.16430596206929374,0.0617523824979303,0.2884035223227923
Czech Republic,0.17862887873596042,0.28058966304968586,0.4287884774591706,0.8880070192448168
Slovenia,0.06234517775556824,0.06234517775556824,0.1625275762963799,0.28721793180751637
Yugoslavia,0.06234517775556824,0.06234517775556824,0.1625275762963799,0.28721793180751637
Argentina,0.06104309442223491,0.06104309442223491,0.11083789606382177,0.23292408490829158
South Africa,0.05974101108890158,0.05974101108890158,0.05914821583126364,0.1786302380090668
Ukraine,0.05974101108890158,0.05974101108890158,0.05914821583126364,0.1786302380090668
Russia,0.7274953003045879,1.084358045402627,0.7197889619552946,2.5316423076625094
Belgium,0.0152710355987055,0.321153388539882,0.11604622939715512,0.4524706535357427
Austria,0.0113647855987055,0.16430596206929374,0.11213997939715512,0.2878107270651543
Estonia,0.008760618932038835,0.11072140324576432,0.05914821583126364,0.1786302380090668
Sweden,0.007458535598705501,0.10941931991243099,0.007458535598705501,0.124336391109842
Uruguay,0.010062702265372168,0.06104309442223491,0.16122549296304658,0.23233128965065367
Greece,0.008760618932038835,0.05974101108890158,0.10953581273048844,0.17803744275142885
Hungary,0.008760618932038835,0.05974101108890158,0.10953581273048844,0.17803744275142885
Lithuania,0.008760618932038835,0.05974101108890158,0.10953581273048844,0.17803744275142885
Ireland,0.006156452265372168,0.05713684442223491,0.006156452265372168,0.06944974895297924
Spain,0.006156452265372168,0.05713684442223491,0.006156452265372168,0.06944974895297924
Totals,14.004854368932039,14.004854368932039,14.004854368932039,42.01456310679612
